,pred,actual
0,-3.7347100659692156,False
1,-4.872523312159055,False
2,-6.068996884423594,False
3,-4.795684641134816,False
4,-7.765818720431186,False
5,-5.886912269415094,False
6,-2.617465966770019,False
7,-2.9844419009142475,False
8,-6.157486420936378,False
9,-5.542278723269453,False
10,-6.197165373784419,False
11,-3.6991755404854736,False
12,-2.8755632470793717,False
13,-3.6251797667134866,False
14,-4.570690630711022,False
15,-6.389600258505926,False
16,-2.1468527597724623,False
17,-3.554220279767764,False
18,-5.145214118339133,False
19,-3.9899565670860255,False
20,-4.265976112331531,False
21,-2.786194750197901,False
22,-3.6536031673271037,False
23,-2.846794905918122,False
24,-4.8656691690642875,False
25,-5.299075457665664,False
26,-2.8169584575314524,False
27,-5.115919468263719,False
28,-2.51595826877484,False
29,-4.556157989364399,False
30,-5.47254377568287,False
31,-3.877291008651023,False
32,-6.004743494955436,False
33,-4.608028131707814,False
34,-3.519534559800989,False
35,-5.900185166903889,False
36,-3.535594809130779,False
37,-4.732932851882559,False
38,-6.052274663943653,False
39,-4.016659943602821,False
40,-4.2524009522104524,False
41,-3.2295112023698263,False
42,-5.8969370583353165,False
43,-4.326214485490819,False
44,-5.555939513326659,False
45,-5.995646860396901,False
46,-3.3266969867536,False
47,-3.8213463271163928,False
48,-4.975282092956345,False
49,-5.951036435447252,False
50,-2.84626564031248,False
51,-3.8960411924747085,False
52,-3.6661467669345487,False
53,-4.778704829599038,False
54,-3.7410338730897834,False
55,-6.273410130325095,False
56,-3.981513739558177,False
57,-3.746649359498103,False
58,-5.0850112735815145,False
59,-8.500321067037008,False
60,-5.164823192430813,False
61,-2.937312712121156,False
62,-3.124551236320941,False
63,-1.6356185977655704,False
64,-3.7903961424198767,False
65,-5.330256787332871,False
66,-3.5382325179186545,False
67,-3.5935550444067967,False
68,-4.010451447123611,False
69,-2.6901539001025236,False
70,-7.702760837823489,False
71,-4.601060914204381,False
72,-3.9326458591942584,False
73,-4.4989511350895555,False
74,-4.833509095498386,False
